uni,Country,Short Form
University of East Anglia,United Kingdom,UEA
University of East London,United Kingdom,UEL
University of Essex,United Kingdom,UOE
University of Leeds,United Kingdom,UOL
University of Leicester,United Kingdom,UOL
University of Lincoln,United Kingdom,UOL
University of Northampton,United Kingdom,UON
University of Nottingham,United Kingdom,UON
Birmingham City University,United Kingdom,BCU
Bournemouth University,United Kingdom,BU
Brighton and Sussex Medical School,United Kingdom,BSMS
Brunel University London Pathway College,United Kingdom,BPC
Cambridge Judge Business School,United Kingdom,CJBS
Canterbury Christ Church University,United Kingdom,CCCU
Cardiff Metropolitan University,United Kingdom,CMU
Coventry University,United Kingdom,CU
Cranfield School of Management,United Kingdom,SOM
University of Sussex,United Kingdom,UOS
University of Essex Online,United Kingdom,UOE
University of Exeter,United Kingdom,UOE
University of Hertfordshire,United Kingdom,UOH
University of Huddersfield,United Kingdom,UOH
University of Hull,United Kingdom,UOH
Queen Margaret University,United Kingdom,QMU
Robert Gordon University,United Kingdom,RGU
Robert Gordon University (RGU),United Kingdom,RGU
Royal Holloway University of London,United Kingdom,RHU
"Royal Holloway, University of London",United Kingdom,RHUL
University of Bath Online,United Kingdom,UOB
University of Bedfordshire,United Kingdom,UOB
University of Bradford,United Kingdom,UOB
University of Brighton,United Kingdom,UOB
University of Central Lancashire,United Kingdom,UCLan
Alliance Manchester Business School,United Kingdom,AMBS
Anglia Ruskin University,United Kingdom,ARU
Aston University,United Kingdom,AU
Bangor University,United Kingdom,BU
David Game College,United Kingdom,DGC
DLD College London,United Kingdom,DLDCL
"Docklands Academy, London",United Kingdom,DAL
Dublin Business School,United Kingdom,DBS
Dundalk Institute of Technology,United Kingdom,IET
Edinburgh College,United Kingdom,EC
ESCP Business School,United Kingdom,ESCPBS
Exeter College,United Kingdom,EC
Grantham College,United Kingdom,GC
Griffith College,United Kingdom,GC
Guildford College,United Kingdom,GC
Independent College Dublin,United Kingdom,ICD
Institute of Technology Carlow,United Kingdom,TEC
Institute of Technology Sligo,United Kingdom,TES
RMIT University,Australia,RMITU
Swinburne University of Technology,Australia,SUT
University of South Australia,Australia,UniSA
University of Southern Queensland,Australia,UniSQ
University of Tasmania,Australia,UTAS
Charles Darwin University,Australia,CDU
Edith Cowan University,Australia,ECU
James Cook University,Australia,JCU
Murdoch University,Australia,MU
Victoria University,Australia,VU
CQUniversity Australia,Australia,CQUA
